target name,accession,tlen,query name,accession,qlen,E-value,score,bias,#,of,c-Evalue,i-Evalue,score,bias,hmm from,hmm to,ali from,ali to,env from,env to,acc,description of target
BACK,PF07707.19,103,A0A6P7SXL9,-,840,3.00E-07,30.6,0.9,2,2,0.3,2.10E+03,-1,0,77,93,503,519,498,524,0.8,BTB And C-terminal Kelch
AAA_14,PF13173.10,130,A0A6P7SXL9,-,840,0.012,15.8,0,1,2,0.01,69,3.7,0,65,111,202,252,173,264,0.68,AAA domain
AAA_14,PF13173.10,130,A0A6P7SXL9,-,840,0.012,15.8,0,2,2,0.00017,1.2,9.4,0,53,118,288,353,269,357,0.77,AAA domain
Copine,PF07002.20,218,A0A6P7SXV8,-,546,5.10E-84,281.3,0.1,1,1,1.30E-87,6.90E-84,280.9,0.1,1,216,321,539,321,541,0.97,Copine
C2,PF00168.34,104,A0A6P7SXV8,-,546,1.90E-33,115,0.1,1,2,1.50E-16,7.70E-13,48.8,0,8,91,24,116,19,128,0.9,C2 domain
C2,PF00168.34,104,A0A6P7SXV8,-,546,1.90E-33,115,0.1,2,2,3.10E-21,1.60E-17,63.8,0,9,102,157,257,152,259,0.9,C2 domain
vWA-TerF-like,PF10138.13,200,A0A6P7SXV8,-,546,7.80E-05,23.1,0,1,2,1,5.40E+03,-2.5,0,81,100,328,348,310,373,0.68,vWA found in TerF C terminus
vWA-TerF-like,PF10138.13,200,A0A6P7SXV8,-,546,7.80E-05,23.1,0,2,2,4.80E-08,0.00025,21.4,0,72,154,394,476,382,482,0.83,vWA found in TerF C terminus
VWA,PF00092.32,174,A0A6P7SXV8,-,546,0.086,13.3,0.1,1,1,3.20E-05,0.17,12.3,0.1,68,155,396,479,386,494,0.8,von Willebrand factor type A domain
PH,PF00169.33,105,A0A6P7SY42,-,500,3.30E-15,56.7,0.1,1,1,2.40E-18,1.00E-14,55.1,0.1,5,103,46,147,42,149,0.84,PH domain
PH_11,PF15413.10,104,A0A6P7SY42,-,500,2.10E-05,25.2,0,1,3,5.00E-09,2.10E-05,25.2,0,9,103,57,146,47,147,0.71,Pleckstrin homology domain
PH_11,PF15413.10,104,A0A6P7SY42,-,500,2.10E-05,25.2,0,2,3,1.1,4.70E+03,-1.7,0.3,90,90,311,311,256,364,0.59,Pleckstrin homology domain
PH_11,PF15413.10,104,A0A6P7SY42,-,500,2.10E-05,25.2,0,3,3,3.8,1.60E+04,-3.4,0.1,39,70,442,473,435,482,0.52,Pleckstrin homology domain
Tropomyosin,PF00261.24,242,A0A6P7SY42,-,500,2.60E-05,24,11.4,1,2,6.30E-09,2.60E-05,24,11.4,130,241,131,241,125,242,0.86,Tropomyosin
Tropomyosin,PF00261.24,242,A0A6P7SY42,-,500,2.60E-05,24,11.4,2,2,2.1,8.90E+03,-4,28.1,27,162,272,400,248,406,0.6,Tropomyosin
PH_6,PF15406.10,112,A0A6P7SY42,-,500,0.039,14.5,0,1,1,3.50E-05,0.15,12.6,0,60,111,90,146,68,147,0.77,Pleckstrin homology domain
PH_8,PF15409.10,89,A0A6P7SY42,-,500,0.059,13.9,0.4,1,1,7.90E-05,0.33,11.5,0.4,10,87,56,146,46,148,0.63,Pleckstrin homology domain
DEAD,PF00270.33,166,A0A6P7SY52,-,371,1.10E-46,158.8,0.2,1,2,5.80E-49,1.50E-45,155.1,0.1,2,163,23,185,22,188,0.95,DEAD/DEAH box helicase
DEAD,PF00270.33,166,A0A6P7SY52,-,371,1.10E-46,158.8,0.2,2,2,0.083,2.20E+02,1.7,0,46,107,238,299,225,311,0.57,DEAD/DEAH box helicase
Helicase_C,PF00271.35,110,A0A6P7SY52,-,371,1.50E-36,125.2,0.1,1,2,0.094,2.40E+02,2.2,0,7,47,57,102,52,115,0.65,Helicase conserved C-terminal domain
Helicase_C,PF00271.35,110,A0A6P7SY52,-,371,1.50E-36,125.2,0.1,2,2,1.50E-38,3.90E-35,120.6,0.1,2,110,224,332,223,332,0.96,Helicase conserved C-terminal domain
ResIII,PF04851.19,164,A0A6P7SY52,-,371,4.40E-06,26.9,0,1,1,3.90E-09,1.00E-05,25.7,0,4,162,21,181,19,183,0.65,"Type III restriction enzyme, res subunit"
AAA_19,PF13245.10,135,A0A6P7SY52,-,371,2.50E-05,24.6,0,1,2,1.90E-07,0.0005,20.4,0,1,103,25,152,25,178,0.68,AAA domain
AAA_19,PF13245.10,135,A0A6P7SY52,-,371,2.50E-05,24.6,0,2,2,0.093,2.40E+02,2,0,43,79,238,277,210,317,0.73,AAA domain
UTP25,PF06862.16,471,A0A6P7SY52,-,371,0.015,14.3,0,1,2,0.038,99,1.7,0,42,97,32,89,24,97,0.73,"Utp25, U3 small nucleolar RNA-associated SSU processome protein 25"
UTP25,PF06862.16,471,A0A6P7SY52,-,371,0.015,14.3,0,2,2,0.0001,0.26,10.2,0,344,415,253,322,227,341,0.89,"Utp25, U3 small nucleolar RNA-associated SSU processome protein 25"
AAA_30,PF13604.10,191,A0A6P7SY52,-,371,0.04,13.8,0.2,1,1,3.10E-05,0.082,12.8,0.2,4,64,23,84,20,164,0.73,AAA domain
UvrD-helicase,PF00580.25,271,A0A6P7SY52,-,371,0.048,13.5,0.3,1,1,2.20E-05,0.057,13.3,0.3,4,67,24,88,22,285,0.87,UvrD/REP helicase N-terminal domain
Flavi_DEAD,PF07652.18,148,A0A6P7SY52,-,371,0.2,11.8,0.2,1,2,0.00024,0.63,10.2,0.1,9,53,40,86,33,152,0.81,Flavivirus DEAD domain
Flavi_DEAD,PF07652.18,148,A0A6P7SY52,-,371,0.2,11.8,0.2,2,2,1.8,4.70E+03,-2.3,0,71,107,225,263,191,268,0.59,Flavivirus DEAD domain
BTB,PF00651.35,110,A0A6P7SY58,-,835,1.40E-22,80.2,0,1,2,4.60E-17,3.20E-13,50,0,3,101,116,217,114,227,0.88,BTB/POZ domain
BTB,PF00651.35,110,A0A6P7SY58,-,835,1.40E-22,80.2,0,2,2,5.40E-09,3.70E-05,24.1,0,20,77,259,326,255,386,0.7,BTB/POZ domain
BACK,PF07707.19,103,A0A6P7SY58,-,835,2.60E-07,30.9,0.5,1,2,1.90E-10,1.30E-06,28.6,0.1,9,79,400,469,395,482,0.89,BTB And C-terminal Kelch
BACK,PF07707.19,103,A0A6P7SY58,-,835,2.60E-07,30.9,0.5,2,2,0.3,2.10E+03,-1,0,77,93,498,514,493,519,0.8,BTB And C-terminal Kelch
AAA_14,PF13173.10,130,A0A6P7SY58,-,835,0.012,15.8,0,1,2,0.0099,69,3.7,0,65,111,202,252,173,264,0.68,AAA domain
AAA_14,PF13173.10,130,A0A6P7SY58,-,835,0.012,15.8,0,2,2,0.00017,1.2,9.4,0,53,118,288,353,269,357,0.77,AAA domain
Arm,PF00514.27,41,A0A6P7SY83,-,489,2.10E-20,72.2,16.6,1,8,1.10E-10,2.20E-07,30.9,0.1,12,41,103,132,101,132,0.96,Armadillo/beta-catenin-like repeat
Arm,PF00514.27,41,A0A6P7SY83,-,489,2.10E-20,72.2,16.6,2,8,0.00074,1.5,9.2,0,15,40,147,172,145,173,0.88,Armadillo/beta-catenin-like repeat
Arm,PF00514.27,41,A0A6P7SY83,-,489,2.10E-20,72.2,16.6,3,8,5.90E-08,0.00012,22.2,0.2,11,41,185,215,175,215,0.89,Armadillo/beta-catenin-like repeat
Arm,PF00514.27,41,A0A6P7SY83,-,489,2.10E-20,72.2,16.6,4,8,0.19,3.90E+02,1.5,0,22,41,238,259,217,259,0.77,Armadillo/beta-catenin-like repeat
Arm,PF00514.27,41,A0A6P7SY83,-,489,2.10E-20,72.2,16.6,5,8,0.14,2.80E+02,2,0.2,14,41,273,306,260,306,0.64,Armadillo/beta-catenin-like repeat
Arm,PF00514.27,41,A0A6P7SY83,-,489,2.10E-20,72.2,16.6,6,8,0.00039,0.82,10,0,20,41,328,349,327,349,0.93,Armadillo/beta-catenin-like repeat
Arm,PF00514.27,41,A0A6P7SY83,-,489,2.10E-20,72.2,16.6,7,8,0.35,7.30E+02,0.7,0.2,13,29,403,419,401,423,0.84,Armadillo/beta-catenin-like repeat
Arm,PF00514.27,41,A0A6P7SY83,-,489,2.10E-20,72.2,16.6,8,8,4.1,8.60E+03,-2.7,0,20,32,452,464,442,464,0.66,Armadillo/beta-catenin-like repeat
HEAT_EZ,PF13513.10,55,A0A6P7SY83,-,489,8.10E-13,48.9,3.4,1,6,1.40E-05,0.029,15.2,0,26,55,101,130,100,130,0.94,HEAT-like repeat
HEAT_EZ,PF13513.10,55,A0A6P7SY83,-,489,8.10E-13,48.9,3.4,2,6,1.00E-08,2.20E-05,25.2,0,3,55,160,213,143,213,0.93,HEAT-like repeat
HEAT_EZ,PF13513.10,55,A0A6P7SY83,-,489,8.10E-13,48.9,3.4,3,6,4.1,8.50E+03,-2.2,0,26,39,269,282,261,286,0.74,HEAT-like repeat
HEAT_EZ,PF13513.10,55,A0A6P7SY83,-,489,8.10E-13,48.9,3.4,4,6,0.81,1.70E+03,0,0,8,54,298,346,297,347,0.72,HEAT-like repeat
HEAT_EZ,PF13513.10,55,A0A6P7SY83,-,489,8.10E-13,48.9,3.4,5,6,0.11,2.40E+02,2.8,0,6,37,339,370,334,375,0.88,HEAT-like repeat
HEAT_EZ,PF13513.10,55,A0A6P7SY83,-,489,8.10E-13,48.9,3.4,6,6,0.44,9.20E+02,0.9,0,28,42,402,416,379,426,0.84,HEAT-like repeat
HEAT,PF02985.26,31,A0A6P7SY83,-,489,3.90E-11,42.3,1.5,1,5,3.50E-06,0.0073,16.7,0,1,29,104,132,104,134,0.93,HEAT repeat
HEAT,PF02985.26,31,A0A6P7SY83,-,489,3.90E-11,42.3,1.5,2,5,0.018,36,5.2,0,3,28,147,172,146,174,0.95,HEAT repeat
HEAT,PF02985.26,31,A0A6P7SY83,-,489,3.90E-11,42.3,1.5,3,5,1.10E-05,0.022,15.2,0.1,2,29,188,215,187,216,0.92,HEAT repeat
HEAT,PF02985.26,31,A0A6P7SY83,-,489,3.90E-11,42.3,1.5,4,5,2.9,6.10E+03,-1.7,0,15,30,375,390,363,391,0.83,HEAT repeat
HEAT,PF02985.26,31,A0A6P7SY83,-,489,3.90E-11,42.3,1.5,5,5,4.3,9.00E+03,-2.2,0,1,13,403,415,403,417,0.86,HEAT repeat
Arm_3,PF16186.9,53,A0A6P7SY83,-,489,6.80E-07,29,2.2,1,3,2.8,5.90E+03,-2.8,0.1,12,20,74,82,73,83,0.77,Atypical Arm repeat
Arm_3,PF16186.9,53,A0A6P7SY83,-,489,6.80E-07,29,2.2,2,3,0.66,1.40E+03,-0.8,0,32,46,277,290,277,296,0.75,Atypical Arm repeat
Arm_3,PF16186.9,53,A0A6P7SY83,-,489,6.80E-07,29,2.2,3,3,3.30E-10,6.80E-07,29,2.2,5,50,438,483,437,486,0.9,Atypical Arm repeat
RICTOR_V,PF14668.10,71,A0A6P7SY83,-,489,4.10E-06,27.1,1.8,1,5,0.00011,0.23,11.9,0,8,59,166,217,162,229,0.87,"Rapamycin-insensitive companion of mTOR, domain 5"
RICTOR_V,PF14668.10,71,A0A6P7SY83,-,489,4.10E-06,27.1,1.8,2,5,7.2,1.50E+04,-3.5,0,63,70,245,252,243,253,0.86,"Rapamycin-insensitive companion of mTOR, domain 5"
RICTOR_V,PF14668.10,71,A0A6P7SY83,-,489,4.10E-06,27.1,1.8,3,5,2.2,4.50E+03,-1.9,0,9,19,300,310,297,328,0.78,"Rapamycin-insensitive companion of mTOR, domain 5"
RICTOR_V,PF14668.10,71,A0A6P7SY83,-,489,4.10E-06,27.1,1.8,4,5,0.027,55,4.3,0.4,3,65,337,398,335,399,0.74,"Rapamycin-insensitive companion of mTOR, domain 5"
RICTOR_V,PF14668.10,71,A0A6P7SY83,-,489,4.10E-06,27.1,1.8,5,5,0.00057,1.2,9.6,0.1,8,69,382,444,379,444,0.92,"Rapamycin-insensitive companion of mTOR, domain 5"
HEAT_2,PF13646.10,88,A0A6P7SY83,-,489,1.80E-05,25.1,0,1,3,6.70E-07,0.0014,19.1,0,8,85,111,208,104,211,0.76,HEAT repeats
HEAT_2,PF13646.10,88,A0A6P7SY83,-,489,1.80E-05,25.1,0,2,3,0.013,26,5.4,0,29,58,184,213,181,222,0.81,HEAT repeats
HEAT_2,PF13646.10,88,A0A6P7SY83,-,489,1.80E-05,25.1,0,3,3,1.3,2.80E+03,-1.1,0,28,58,317,347,312,372,0.81,HEAT repeats
IBB,PF01749.24,89,A0A6P7SY83,-,489,3.30E-05,24.5,2.5,1,2,8.20E-08,0.00017,22.2,1.2,12,64,21,69,4,84,0.69,Importin beta binding domain
IBB,PF01749.24,89,A0A6P7SY83,-,489,3.30E-05,24.5,2.5,2,2,0.53,1.10E+03,0.4,0,67,83,402,418,390,423,0.85,Importin beta binding domain
Cnd1,PF12717.11,162,A0A6P7SY83,-,489,0.0024,18.1,0.1,1,3,0.15,3.10E+02,1.5,0,20,49,102,134,94,164,0.74,non-SMC mitotic condensation complex subunit 1
Cnd1,PF12717.11,162,A0A6P7SY83,-,489,0.0024,18.1,0.1,2,3,6.90E-05,0.14,12.3,0,26,102,149,231,126,250,0.75,non-SMC mitotic condensation complex subunit 1
Cnd1,PF12717.11,162,A0A6P7SY83,-,489,0.0024,18.1,0.1,3,3,0.37,7.70E+02,0.2,0,56,105,318,367,300,399,0.78,non-SMC mitotic condensation complex subunit 1
Chlam_OMP,PF01308.21,397,A0A6P7SY83,-,489,0.022,13.7,0,1,1,1.60E-05,0.032,13.1,0,103,158,210,265,184,290,0.79,Chlamydia major outer membrane protein
Atx10homo_assoc,PF09759.13,99,A0A6P7SY83,-,489,0.18,12,0.2,1,3,1.6,3.30E+03,-1.7,0,36,62,49,76,25,87,0.63,Spinocerebellar ataxia type 10 protein domain
Atx10homo_assoc,PF09759.13,99,A0A6P7SY83,-,489,0.18,12,0.2,2,3,0.0045,9.4,6.4,0,39,68,154,183,150,190,0.89,Spinocerebellar ataxia type 10 protein domain
Atx10homo_assoc,PF09759.13,99,A0A6P7SY83,-,489,0.18,12,0.2,3,3,0.0048,10,6.4,0,9,66,168,223,167,232,0.9,Spinocerebellar ataxia type 10 protein domain
Fringe,PF02434.20,250,A0A6P7SYI5,-,474,4.70E-66,222.9,0,1,3,0.65,4.50E+03,-3.1,0.1,2,33,37,69,36,73,0.71,Fringe-like
Fringe,PF02434.20,250,A0A6P7SYI5,-,474,4.70E-66,222.9,0,2,3,7.80E-06,0.054,13,0,85,162,108,186,99,237,0.77,Fringe-like
Fringe,PF02434.20,250,A0A6P7SYI5,-,474,4.70E-66,222.9,0,3,3,3.70E-65,2.60E-61,207.4,0,3,230,247,452,245,464,0.95,Fringe-like
Galactosyl_T,PF01762.25,195,A0A6P7SYI5,-,474,0.015,15.3,0,1,3,0.029,2.00E+02,1.8,0,88,163,117,185,98,192,0.73,Galactosyltransferase
Galactosyl_T,PF01762.25,195,A0A6P7SYI5,-,474,0.015,15.3,0,2,3,0.026,1.80E+02,2,0,82,112,327,355,309,369,0.81,Galactosyltransferase
Galactosyl_T,PF01762.25,195,A0A6P7SYI5,-,474,0.015,15.3,0,3,3,0.00062,4.3,7.3,0,144,193,372,423,360,425,0.79,Galactosyltransferase
Polysacc_synt_3,PF13440.10,293,A0A6P7SYI5,-,474,0.093,12.1,0.2,1,1,2.30E-05,0.16,11.4,0.2,56,119,6,70,2,74,0.85,Polysaccharide biosynthesis protein
ARMC9_ARM,PF21050.1,120,A0A6P7SZA8,-,798,2.90E-41,140.5,0.5,1,2,3,1.20E+04,-3.6,0,58,83,421,447,398,451,0.51,"LisH domain-containing protein ARMC9, ARM repeats"
ARMC9_ARM,PF21050.1,120,A0A6P7SZA8,-,798,2.90E-41,140.5,0.5,2,2,1.30E-44,5.50E-41,139.6,0.1,1,120,456,575,456,575,0.95,"LisH domain-containing protein ARMC9, ARM repeats"
ARMC9_LisH,PF21051.1,32,A0A6P7SZA8,-,798,5.80E-10,39.4,0.2,1,1,3.20E-13,1.30E-09,38.2,0.2,1,31,16,46,16,47,0.98,"ARMC9, LIS1 homology motif"
LisH_2,PF16045.9,28,A0A6P7SZA8,-,798,0.055,12.7,0,1,1,3.10E-05,0.13,11.6,0,1,25,19,43,19,43,0.98,LisH
YL1,PF05764.17,240,A0A6P7SZA8,-,798,0.12,12.6,7.5,1,1,5.90E-05,0.25,11.6,7.5,26,145,578,724,557,752,0.5,YL1 nuclear protein
CENP-B_dimeris,PF09026.14,100,A0A6P7SZA8,-,798,0.24,12.1,7.6,1,1,0.00012,0.51,11.1,7.6,12,51,581,620,572,647,0.76,Centromere protein B dimerisation domain
7tm_1,PF00001.25,259,A0A6P7SZU7,-,346,4.80E-50,170.6,17.1,1,1,1.70E-53,7.00E-50,170.1,17.1,1,245,69,331,69,338,0.89,7 transmembrane receptor (rhodopsin family)
7TM_GPCR_Srsx,PF10320.13,257,A0A6P7SZU7,-,346,4.10E-06,26.6,19.3,1,1,1.50E-09,6.30E-06,26,19.3,2,230,64,333,63,345,0.73,Serpentine type 7TM GPCR chemoreceptor Srsx
7tm_4,PF13853.10,280,A0A6P7SZU7,-,346,0.00031,20.8,11.4,1,1,1.20E-07,0.00052,20.1,11.4,2,147,60,208,56,311,0.78,Olfactory receptor
7TM_GPCR_Srx,PF10328.13,263,A0A6P7SZU7,-,346,0.0025,17.7,17.1,1,2,6.00E-07,0.0025,17.7,17.1,3,198,62,262,61,272,0.73,Serpentine type 7TM GPCR chemoreceptor Srx
7TM_GPCR_Srx,PF10328.13,263,A0A6P7SZU7,-,346,0.0025,17.7,17.1,2,2,0.33,1.40E+03,-1.1,0.4,119,148,291,311,275,343,0.45,Serpentine type 7TM GPCR chemoreceptor Srx
DUF5083,PF16890.9,157,A0A6P7SZU7,-,346,0.0085,16.1,0.1,1,4,0.63,2.60E+03,-1.7,0.3,64,75,56,67,45,113,0.52,Domain of unknown function (DUF5083)
DUF5083,PF16890.9,157,A0A6P7SZU7,-,346,0.0085,16.1,0.1,2,4,2.00E-06,0.0085,16.1,0.1,52,129,125,205,121,216,0.7,Domain of unknown function (DUF5083)
DUF5083,PF16890.9,157,A0A6P7SZU7,-,346,0.0085,16.1,0.1,3,4,2,8.40E+03,-3.4,0.1,24,48,238,261,225,266,0.48,Domain of unknown function (DUF5083)
DUF5083,PF16890.9,157,A0A6P7SZU7,-,346,0.0085,16.1,0.1,4,4,1.4,5.80E+03,-2.8,0.1,90,90,313,313,279,336,0.51,Domain of unknown function (DUF5083)
ARMC9_ARM,PF21050.1,120,A0A6P7T041,-,797,2.90E-41,140.5,0.5,1,2,3.6,1.20E+04,-3.6,0,58,83,419,445,396,449,0.51,"LisH domain-containing protein ARMC9, ARM repeats"
ARMC9_ARM,PF21050.1,120,A0A6P7T041,-,797,2.90E-41,140.5,0.5,2,2,1.60E-44,5.50E-41,139.6,0.1,1,120,454,573,454,573,0.95,"LisH domain-containing protein ARMC9, ARM repeats"
ARMC9_LisH,PF21051.1,32,A0A6P7T041,-,797,5.80E-10,39.4,0.2,1,1,3.90E-13,1.30E-09,38.2,0.2,1,31,14,44,14,45,0.98,"ARMC9, LIS1 homology motif"
LisH_2,PF16045.9,28,A0A6P7T041,-,797,0.055,12.8,0,1,1,3.70E-05,0.13,11.6,0,1,25,17,41,17,41,0.98,LisH
YL1,PF05764.17,240,A0A6P7T041,-,797,0.25,11.6,9.1,1,1,0.00014,0.48,10.7,9.1,26,145,576,723,555,763,0.52,YL1 nuclear protein
CENP-B_dimeris,PF09026.14,100,A0A6P7T041,-,797,1.6,9.4,9.9,1,1,0.001,3.5,8.4,9.9,12,50,579,617,570,638,0.78,Centromere protein B dimerisation domain
CDC45,PF02724.18,625,A0A6P7T041,-,797,6.9,5,6.7,1,1,0.0029,10,4.5,6.7,124,172,571,618,549,742,0.58,CDC45-like protein
zf-C2H2_12,PF18658.5,64,A0A6P7T045,-,603,2.60E-09,36.8,0.1,1,1,1.10E-12,5.90E-09,35.7,0.1,1,46,18,61,18,76,0.93,Spin-doc zinc-finger
Dimer_Tnp_hAT,PF05699.18,84,A0A6P7T045,-,603,1.20E-06,28.4,0,1,1,6.30E-10,3.30E-06,27,0,5,80,504,580,500,582,0.92,hAT family C-terminal dimerisation region
DUF4371,PF14291.10,237,A0A6P7T045,-,603,0.00016,21.9,0.2,1,1,5.00E-08,0.00026,21.1,0.2,153,234,175,257,73,260,0.78,Domain of unknown function (DUF4371)
DUF3243,PF11588.12,79,A0A6P7T045,-,603,0.24,12,1.1,1,2,8.80E-05,0.46,11,0,4,63,73,132,71,139,0.9,Protein of unknown function (DUF3243)
DUF3243,PF11588.12,79,A0A6P7T045,-,603,0.24,12,1.1,2,2,2.6,1.40E+04,-3.3,0.2,48,62,366,383,363,385,0.79,Protein of unknown function (DUF3243)
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,1,34,4.60E-08,5.30E-05,23.7,0.1,1,85,52,130,52,138,0.74,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,2,34,7.40E-13,8.50E-10,39.1,0,1,92,152,251,152,252,0.95,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,3,34,9.50E-21,1.10E-17,64.4,0.1,1,92,266,359,266,360,0.97,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,4,34,1.40E-16,1.60E-13,51,0,4,92,383,472,381,473,0.95,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,5,34,8.30E-24,9.60E-21,74.2,0,3,92,489,577,487,578,0.97,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,6,34,5.40E-19,6.20E-16,58.8,0,1,92,592,685,592,686,0.97,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,7,34,1.80E-19,2.10E-16,60.3,0.2,11,92,710,789,704,790,0.94,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,8,34,1.50E-10,1.80E-07,31.7,0.1,14,77,821,896,804,912,0.68,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,9,34,3.40E-16,4.00E-13,49.8,0,4,92,910,995,907,996,0.96,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,10,34,2.00E-23,2.30E-20,73,0,2,93,1011,1100,1010,1100,0.98,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,11,34,4.30E-18,5.00E-15,55.9,0.1,1,93,1114,1208,1114,1208,0.98,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,12,34,6.60E-23,7.60E-20,71.3,1.2,1,92,1222,1313,1222,1314,0.98,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,13,34,3.10E-22,3.50E-19,69.2,0,2,92,1329,1418,1328,1419,0.97,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,14,34,4.50E-19,5.20E-16,59,0.4,2,92,1434,1526,1433,1527,0.94,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,15,34,1.60E-09,1.80E-06,28.4,0,3,79,1542,1616,1540,1632,0.91,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,16,34,1.60E-08,1.90E-05,25.2,0.1,1,92,1647,1744,1647,1745,0.86,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,17,34,8.30E-12,9.60E-09,35.7,0,4,93,1762,1843,1759,1843,0.93,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,18,34,7.80E-20,9.00E-17,61.5,0,1,92,1857,1947,1857,1948,0.97,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,19,34,6.40E-21,7.40E-18,64.9,0.1,1,92,1962,2055,1962,2056,0.91,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,20,34,4.20E-23,4.90E-20,71.9,0.1,4,92,2072,2158,2069,2159,0.97,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,21,34,9.70E-25,1.10E-21,77.2,0,1,92,2173,2263,2173,2264,0.98,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,22,34,9.80E-23,1.10E-19,70.8,0.1,10,93,2288,2369,2278,2369,0.92,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,23,34,6.70E-23,7.80E-20,71.3,0.1,1,92,2383,2472,2383,2473,0.98,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,24,34,1.30E-12,1.50E-09,38.3,0,11,92,2497,2576,2493,2577,0.95,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,25,34,4.20E-12,4.80E-09,36.7,0,2,92,2593,2679,2592,2680,0.94,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,26,34,7.90E-23,9.10E-20,71.1,0.3,2,93,2695,2785,2694,2785,0.97,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,27,34,7.60E-20,8.80E-17,61.5,0.1,1,93,2798,2885,2798,2885,0.95,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,28,34,9.10E-16,1.10E-12,48.4,0,3,92,2901,2991,2899,2992,0.94,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,29,34,2.00E-10,2.30E-07,31.3,0,8,92,3013,3098,3006,3099,0.82,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,30,34,4.80E-20,5.50E-17,62.1,0.1,4,92,3116,3203,3113,3204,0.96,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,31,34,1.10E-19,1.30E-16,61,0.1,1,92,3218,3308,3218,3309,0.96,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,32,34,1.00E-15,1.20E-12,48.3,0,1,93,3323,3414,3323,3415,0.97,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,33,34,1.30E-21,1.50E-18,67.2,0,4,93,3432,3521,3429,3521,0.96,Cadherin domain
Cadherin,PF00028.21,93,A0A6P7T0G5,-,4947,0,1823.8,88.6,34,34,1.30E-14,1.60E-11,44.7,0.1,3,93,3537,3628,3535,3628,0.91,Cadherin domain
Cadherin_3,PF16184.9,111,A0A6P7T0G5,-,4947,7.90E-38,129,80.1,1,28,0.018,20,5.3,0,2,73,128,202,127,209,0.83,Cadherin-like
Cadherin_3,PF16184.9,111,A0A6P7T0G5,-,4947,7.90E-38,129,80.1,2,28,0.0062,7.2,6.8,0.2,7,72,247,314,244,329,0.84,Cadherin-like
Cadherin_3,PF16184.9,111,A0A6P7T0G5,-,4947,7.90E-38,129,80.1,3,28,1.1,1.20E+03,-0.4,0,6,25,354,373,350,433,0.58,Cadherin-like
Cadherin_3,PF16184.9,111,A0A6P7T0G5,-,4947,7.90E-38,129,80.1,4,28,1.6,1.90E+03,-1,0,5,38,466,498,463,533,0.67,Cadherin-like
