qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
comp240492_c0_seq1,tr|A0A0L8HMX5|A0A0L8HMX5_OCTBM,100.0,334,0,0,158,1159,1,334,0.0,"705
"
comp210501_c0_seq1,tr|A0A0L8IGT0|A0A0L8IGT0_OCTBM,100.0,590,0,0,350,2119,1,590,0.0,"1149
"
comp164927_c0_seq1,tr|A0A0L8H950|A0A0L8H950_OCTBM,100.0,2392,0,0,313,7488,1,2392,0.0,"4395
"
comp99986_c0_seq2,tr|A0A0L8GBZ0|A0A0L8GBZ0_OCTBM,100.0,249,0,0,2782,3528,1,249,9.33e-166,"491
"
comp99986_c0_seq2,tr|A0A0L8GG24|A0A0L8GG24_OCTBM,100.0,221,0,0,397,1059,1,221,4.21e-143,"432
"
comp99986_c0_seq2,tr|A0A0L8FGY5|A0A0L8FGY5_OCTBM,100.0,217,0,0,2053,2703,1,217,9.2e-135,"415
"
comp99986_c0_seq2,tr|A0A0L8FGU6|A0A0L8FGU6_OCTBM,100.0,165,0,0,1099,1593,16,180,1.41e-108,"338
"
comp99986_c0_seq2,tr|A0A0L8FGS8|A0A0L8FGS8_OCTBM,97.727,44,1,0,1915,2046,1,44,4.29e-21,"87.0
"
comp85007_c0_seq1,tr|A0A0L8G4F3|A0A0L8G4F3_OCTBM,99.474,380,2,0,73,1212,1,380,0.0,"637
"
comp85007_c0_seq1,tr|A0A0L8GSQ3|A0A0L8GSQ3_OCTBM,100.0,302,0,0,1756,2661,1,302,0.0,"596
"
comp68637_c0_seq1,tr|A0A0L8GES0|A0A0L8GES0_OCTBM,99.541,218,1,0,230,883,14,231,1.81e-161,"458
"
comp68637_c0_seq1,tr|A0A0L8GEI7|A0A0L8GEI7_OCTBM,99.029,103,1,0,890,1198,1,103,1.78e-68,"216
"
comp105772_c0_seq2,tr|A0A0L8I9C3|A0A0L8I9C3_OCTBM,100.0,565,0,0,177,1871,1,565,0.0,"1114
"
comp165790_c0_seq1,tr|A0A0L8GHG3|A0A0L8GHG3_OCTBM,99.934,1510,1,0,5000,9529,1,1510,0.0,"1683
"
comp100867_c0_seq3,tr|A0A0L8GCI8|A0A0L8GCI8_OCTBM,96.788,716,19,2,66,2207,1,714,0.0,"1424
"
comp199522_c0_seq1,tr|A0A0L8I699|A0A0L8I699_OCTBM,100.0,748,0,0,2,2245,27,774,0.0,"1521
"
comp156664_c0_seq1,tr|A0A0L8HMK9|A0A0L8HMK9_OCTBM,100.0,225,0,0,227,901,1,225,1.55e-169,"475
"
comp170294_c0_seq1,tr|A0A0L8G242|A0A0L8G242_OCTBM,100.0,251,0,0,625,1377,1,251,2.32e-165,"466
"
comp131104_c0_seq1,tr|A0A0L8GG03|A0A0L8GG03_OCTBM,100.0,297,0,0,1624,2514,223,519,0.0,"592
"
comp131104_c0_seq1,tr|A0A0L8GG03|A0A0L8GG03_OCTBM,98.571,70,1,0,2561,2770,537,606,0.0,"143
"
comp163572_c0_seq2,tr|A0A0L8HYB1|A0A0L8HYB1_OCTBM,100.0,804,0,0,1124,3535,1,804,0.0,"1619
"
comp158211_c0_seq1,tr|A0A0L8FSK9|A0A0L8FSK9_OCTBM,99.939,1652,1,0,371,5326,1,1652,0.0,"3205
"
comp149360_c1_seq2,tr|A0A0L8H8T6|A0A0L8H8T6_OCTBM,100.0,215,0,0,156,800,39,253,6.83e-146,"409
"
comp169608_c0_seq1,tr|A0A0L8I746|A0A0L8I746_OCTBM,100.0,299,0,0,243,1139,15,313,0.0,"617
"
comp44226_c0_seq1,tr|A0A0L8HM76|A0A0L8HM76_OCTBM,100.0,59,0,0,510,686,1,59,2.57e-33,"125
"
comp182924_c0_seq1,tr|A0A0L8HC44|A0A0L8HC44_OCTBM,100.0,399,0,0,183,1379,1,399,0.0,"832
"
comp145974_c0_seq1,tr|A0A0L8FWR1|A0A0L8FWR1_OCTBM,100.0,434,0,0,502,1803,1,434,0.0,"819
"
comp167043_c0_seq1,tr|A0A0L8GQ58|A0A0L8GQ58_OCTBM,100.0,403,0,0,344,1552,1,403,0.0,"799
"
comp156433_c0_seq2,tr|A0A0L8HUJ9|A0A0L8HUJ9_OCTBM,100.0,785,0,0,527,2881,1,785,0.0,"1511
"
comp102064_c0_seq1,tr|A0A0L8FY47|A0A0L8FY47_OCTBM,100.0,492,0,0,17,1492,1,492,0.0,"1020
"
comp156465_c1_seq1,tr|A0A0L8FY96|A0A0L8FY96_OCTBM,100.0,355,0,0,291,1355,5,359,0.0,"732
"
comp158867_c0_seq1,tr|A0A0L8HCW4|A0A0L8HCW4_OCTBM,100.0,890,0,0,31,2700,1,890,0.0,"1806
"
comp164431_c1_seq1,tr|A0A0L8H1I4|A0A0L8H1I4_OCTBM,99.157,593,0,1,251,2014,1,593,0.0,"1210
"
comp156057_c0_seq1,tr|A0A0L8H4C1|A0A0L8H4C1_OCTBM,100.0,1608,0,0,2,4825,1431,3038,0.0,"3110
"
comp130281_c0_seq1,tr|A0A0L8G0P9|A0A0L8G0P9_OCTBM,100.0,116,0,0,621,968,1,116,9.69e-79,"243
"
comp157081_c0_seq1,tr|A0A0L8HUZ1|A0A0L8HUZ1_OCTBM,100.0,899,0,0,362,3058,1,899,0.0,"1711
"
comp107176_c1_seq1,tr|A0A0L8GFW2|A0A0L8GFW2_OCTBM,100.0,432,0,0,256,1551,1,432,0.0,"843
"
comp147890_c0_seq1,tr|A0A0L8H6B2|A0A0L8H6B2_OCTBM,100.0,708,0,0,505,2628,1,708,0.0,"1238
"
comp3712214_c0_seq1,tr|A0A0L8G074|A0A0L8G074_OCTBM,100.0,81,0,0,1,243,76,156,1.17e-56,"171
"
comp188032_c0_seq1,tr|A0A0L8GHJ6|A0A0L8GHJ6_OCTBM,100.0,696,0,0,358,2445,1,696,0.0,"1415
"
comp141370_c0_seq1,tr|A0A0L8FLC3|A0A0L8FLC3_OCTBM,99.621,264,1,0,55,846,321,584,0.0,"548
"
comp156713_c0_seq1,tr|A0A0L8FI47|A0A0L8FI47_OCTBM,100.0,228,0,0,221,904,1,228,5.65e-139,"402
"
comp148525_c0_seq1,tr|A0A0L8G4D2|A0A0L8G4D2_OCTBM,100.0,624,0,0,879,2750,1,624,0.0,"1156
"
comp150681_c0_seq3,tr|A0A0L8HRM7|A0A0L8HRM7_OCTBM,100.0,723,0,0,242,2410,1,723,0.0,"1493
"
comp1948509_c0_seq1,tr|A0A0L8GRT6|A0A0L8GRT6_OCTBM,100.0,67,0,0,106,306,3,69,7.2e-44,"143
"
comp166752_c0_seq1,tr|A0A0L8IA38|A0A0L8IA38_OCTBM,100.0,551,0,0,176,1828,1,551,0.0,"1116
"
comp219307_c0_seq1,tr|A0A0L8HKK6|A0A0L8HKK6_OCTBM,100.0,141,0,0,44,466,524,664,5.93e-99,"300
"
comp94199_c0_seq1,tr|A0A0L8I9H5|A0A0L8I9H5_OCTBM,100.0,514,0,0,159,1700,1,514,0.0,"1010
"
comp161652_c3_seq6,tr|A0A0L8I4A4|A0A0L8I4A4_OCTBM,100.0,344,0,0,2578,1547,152,495,0.0,"620
"
comp161652_c3_seq6,tr|A0A0L8ICA0|A0A0L8ICA0_OCTBM,100.0,222,0,0,148,813,1,222,3.81e-120,"365
"
comp183920_c0_seq1,tr|A0A0L8HY73|A0A0L8HY73_OCTBM,100.0,203,0,0,161,769,1,203,5.72e-128,"363
"
comp89863_c0_seq1,tr|A0A0L8FXS9|A0A0L8FXS9_OCTBM,100.0,156,0,0,1251,1718,1,156,1.61e-83,"258
"
comp169432_c0_seq1,tr|A0A0L8HSS7|A0A0L8HSS7_OCTBM,100.0,289,0,0,602,1468,1,289,0.0,"585
"
comp105697_c0_seq1,tr|A0A0L8FR80|A0A0L8FR80_OCTBM,100.0,299,0,0,244,1140,1,299,0.0,"618
"
comp2684620_c0_seq1,tr|A0A0L8G733|A0A0L8G733_OCTBM,100.0,250,0,0,3,752,155,404,0.0,"523
"
comp154964_c0_seq1,tr|A0A0L8FI06|A0A0L8FI06_OCTBM,100.0,136,0,0,61,468,20,155,5.06e-87,"276
"
comp5426075_c0_seq1,tr|A0A0L8GTT3|A0A0L8GTT3_OCTBM,98.718,78,1,0,1,234,156,233,2.66e-50,"160
"
comp141789_c0_seq1,tr|A0A0L8HXK8|A0A0L8HXK8_OCTBM,95.07,142,7,0,2,427,227,368,2.89e-80,"242
"
comp159329_c0_seq1,tr|A0A0L8FN24|A0A0L8FN24_OCTBM,100.0,305,0,0,3981,4895,1,305,0.0,"638
"
comp131061_c0_seq2,tr|A0A0L8HQF3|A0A0L8HQF3_OCTBM,99.85,665,1,0,282,2276,1,665,0.0,"1220
"
comp81789_c0_seq1,tr|A0A0L8GGM9|A0A0L8GGM9_OCTBM,100.0,320,0,0,448,1407,1,320,0.0,"671
"
comp151986_c0_seq2,tr|A0A0L8H3R1|A0A0L8H3R1_OCTBM,100.0,198,0,0,664,1257,18,215,9.1e-128,"379
"
comp151986_c0_seq2,tr|A0A0L8H413|A0A0L8H413_OCTBM,100.0,120,0,0,40,399,1,120,2.49e-65,"212
"
comp144405_c0_seq1,tr|A0A0L8G609|A0A0L8G609_OCTBM,100.0,286,0,0,99,956,1,286,0.0,"569
"
comp154692_c0_seq1,tr|A0A0L8HEB1|A0A0L8HEB1_OCTBM,99.324,148,1,0,1886,2329,1,148,5.08e-99,"302
"
comp133386_c0_seq2,tr|A0A0L8H0Q8|A0A0L8H0Q8_OCTBM,100.0,443,0,0,279,1607,1,443,0.0,"845
"
comp146278_c0_seq3,tr|A0A0L8I8T7|A0A0L8I8T7_OCTBM,98.057,566,6,1,1153,2835,1,566,0.0,"773
"
comp146278_c0_seq3,tr|A0A0L8I8T7|A0A0L8I8T7_OCTBM,100.0,64,0,0,3388,3579,668,731,1.8e-17,"87.8
"
comp158134_c0_seq1,tr|A0A0L8FSI2|A0A0L8FSI2_OCTBM,100.0,202,0,0,459,1064,6,207,6.07e-128,"370
"
comp158134_c0_seq1,tr|A0A0L8HRU8|A0A0L8HRU8_OCTBM,100.0,86,0,0,1086,1343,1,86,9.02e-58,"186
"
comp146000_c0_seq2,tr|A0A0L8FVD4|A0A0L8FVD4_OCTBM,99.405,168,1,0,1354,1857,101,268,2.65e-96,"303
"
comp146000_c0_seq2,tr|A0A0L8FVF0|A0A0L8FVF0_OCTBM,97.959,49,1,0,817,963,1,49,2.98e-26,"101
"
comp152841_c0_seq2,tr|A0A0L8H467|A0A0L8H467_OCTBM,100.0,127,0,0,785,1165,1,127,1.01e-84,"268
"
comp106096_c0_seq1,tr|A0A0L8HH65|A0A0L8HH65_OCTBM,100.0,344,0,0,541,1572,1,344,0.0,"683
"
comp101007_c1_seq1,tr|A0A0L8FTK5|A0A0L8FTK5_OCTBM,100.0,498,0,0,966,2459,1,498,0.0,"1009
"
comp136116_c0_seq1,tr|A0A0L8G1Q8|A0A0L8G1Q8_OCTBM,100.0,1023,0,0,2,3070,233,1255,0.0,"2059
"
comp70393_c0_seq1,tr|A0A0L8IIT7|A0A0L8IIT7_OCTBM,100.0,500,0,0,356,1855,1,500,0.0,"758
"
comp83761_c0_seq1,tr|A0A0L8G050|A0A0L8G050_OCTBM,100.0,826,0,0,254,2731,1,826,0.0,"1593
"
comp94237_c0_seq1,tr|A0A0L8G723|A0A0L8G723_OCTBM,100.0,69,0,0,2,208,141,209,7.04e-41,"139
"
comp145152_c1_seq1,tr|A0A0L8GLG8|A0A0L8GLG8_OCTBM,100.0,133,0,0,63,461,14,146,1.36e-80,"236
"
comp130130_c0_seq1,tr|A0A0L8G977|A0A0L8G977_OCTBM,100.0,266,0,0,435,1232,1,266,0.0,"555
"
comp101521_c0_seq1,tr|A0A0L8G7L0|A0A0L8G7L0_OCTBM,99.805,512,1,0,271,1806,1,512,0.0,"961
"
comp150861_c0_seq1,tr|A0A0L8IE72|A0A0L8IE72_OCTBM,100.0,254,0,0,375,1136,1,254,0.0,"528
"
comp3338157_c0_seq1,tr|A0A0L8FRJ4|A0A0L8FRJ4_OCTBM,100.0,144,0,0,1,432,1621,1764,2.1e-94,"297
"
comp197687_c0_seq1,tr|A0A0L8FVY7|A0A0L8FVY7_OCTBM,100.0,336,0,0,153,1160,1,336,0.0,"556
"
comp78102_c0_seq1,tr|A0A0L8I206|A0A0L8I206_OCTBM,100.0,178,0,0,1219,1752,5,182,1e-121,"365
"
comp1496591_c0_seq1,tr|A0A0L8I7F8|A0A0L8I7F8_OCTBM,100.0,656,0,0,682,2649,1,656,0.0,"1333
"
comp191761_c0_seq1,tr|A0A0L8IAV0|A0A0L8IAV0_OCTBM,100.0,155,0,0,51,515,1,155,1.56e-116,"327
"
comp58900_c0_seq1,tr|A0A0L8FFI2|A0A0L8FFI2_OCTBM,100.0,145,0,0,2,436,365,509,7.16e-84,"256
"
comp163725_c0_seq1,tr|A0A0L8IG60|A0A0L8IG60_OCTBM,100.0,657,0,0,250,2220,1,657,0.0,"1342
"
comp187805_c0_seq1,tr|A0A0L8GP63|A0A0L8GP63_OCTBM,99.806,516,1,0,276,1823,1,516,0.0,"1038
"
comp165373_c2_seq25,tr|A0A0L8GLH7|A0A0L8GLH7_OCTBM,100.0,361,0,0,437,1519,1,361,0.0,"759
"
comp165373_c2_seq25,tr|A0A0L8I230|A0A0L8I230_OCTBM,100.0,227,0,0,3610,2930,1,227,3.26e-118,"368
"
comp149635_c0_seq1,tr|A0A0L8GXM4|A0A0L8GXM4_OCTBM,100.0,310,0,0,415,1344,1,310,1.86e-174,"507
"
comp149635_c0_seq1,tr|A0A0L8G072|A0A0L8G072_OCTBM,100.0,124,0,0,1372,1743,9,132,1.22e-77,"246
"
comp673118_c0_seq1,tr|A0A0L8HEK5|A0A0L8HEK5_OCTBM,100.0,367,0,0,3,1103,61,427,0.0,"659
"
comp673118_c0_seq1,tr|A0A0L8HFY9|A0A0L8HFY9_OCTBM,97.183,71,2,0,1678,1466,1,71,2.94e-40,"140
"
comp139025_c0_seq4,tr|A0A0L8HX83|A0A0L8HX83_OCTBM,100.0,317,0,0,108,1058,1,317,0.0,"584
"
comp138460_c0_seq3,tr|A0A0L8HCS6|A0A0L8HCS6_OCTBM,98.592,71,1,0,594,806,1,71,7.55e-29,"107
"
comp149073_c0_seq2,tr|A0A0L8I9T1|A0A0L8I9T1_OCTBM,100.0,685,0,0,22,2076,469,1153,0.0,"1301
"
comp157924_c1_seq8,tr|A0A0L8FU37|A0A0L8FU37_OCTBM,100.0,141,0,0,1140,1562,1,141,1.16e-97,"295
"
comp157924_c1_seq8,tr|A0A0L8GB44|A0A0L8GB44_OCTBM,95.122,41,2,0,221,343,7,47,3.23e-20,"84.0
"
comp150291_c1_seq1,tr|A0A0L8FNA9|A0A0L8FNA9_OCTBM,100.0,142,0,0,647,1072,1,142,6.93e-102,"299
"
comp162266_c0_seq1,tr|A0A0L8I4V0|A0A0L8I4V0_OCTBM,100.0,743,0,0,208,2436,1,743,0.0,"1544
"
comp136869_c0_seq1,tr|A0A0L8H4S3|A0A0L8H4S3_OCTBM,100.0,527,0,0,40,1620,1,527,0.0,"1089
"
comp155558_c0_seq1,tr|A0A0L8IB93|A0A0L8IB93_OCTBM,100.0,60,0,0,1641,1820,1,60,1.11e-32,"120
"
comp4923144_c0_seq1,tr|A0A0L8GB13|A0A0L8GB13_OCTBM,100.0,66,0,0,1,198,324,389,6.07e-42,"139
"
comp1287918_c0_seq1,tr|A0A0L8HT54|A0A0L8HT54_OCTBM,100.0,427,0,0,211,1491,1,427,0.0,"848
"
comp159318_c0_seq7,tr|A0A0L8GLH9|A0A0L8GLH9_OCTBM,100.0,766,0,0,1572,3869,1103,1868,0.0,"1383
"
comp157531_c0_seq6,tr|A0A0L8ICE3|A0A0L8ICE3_OCTBM,98.119,691,6,1,362,2413,21,711,0.0,"1384
"
comp165668_c0_seq21,tr|A0A0L8GWC4|A0A0L8GWC4_OCTBM,95.56,518,18,1,1,1539,151,668,0.0,"933
"
comp165668_c0_seq21,tr|A0A0L8GWK4|A0A0L8GWK4_OCTBM,100.0,247,0,0,3259,2519,125,371,3.09e-121,"379
"
comp165668_c0_seq21,tr|A0A0L8GWS1|A0A0L8GWS1_OCTBM,96.644,149,4,1,1609,2052,19,167,7.61e-95,"298
"
comp165668_c0_seq21,tr|A0A0L8FV42|A0A0L8FV42_OCTBM,97.872,94,2,0,1474,1755,1,94,2.42e-58,"194
"
comp148575_c0_seq1,tr|A0A0L8GL79|A0A0L8GL79_OCTBM,100.0,944,0,0,558,3389,1,944,0.0,"1887
"
comp164281_c0_seq1,tr|A0A0L8I6R2|A0A0L8I6R2_OCTBM,100.0,2771,0,0,58,8370,1,2771,0.0,"5385
"
comp159082_c0_seq2,tr|A0A0L8HMD0|A0A0L8HMD0_OCTBM,99.631,812,3,0,869,3304,1,812,0.0,"1613
"
comp159082_c0_seq2,tr|A0A0L8HN12|A0A0L8HN12_OCTBM,100.0,74,0,0,3371,3592,1,74,5.14e-37,"133
"
comp46636_c0_seq1,tr|A0A0L8GJC2|A0A0L8GJC2_OCTBM,96.0,175,3,1,566,1090,1,171,3.68e-113,"345
"
comp150485_c0_seq4,tr|A0A0L8HZM8|A0A0L8HZM8_OCTBM,100.0,339,0,0,165,1181,1,339,0.0,"600
"
comp150485_c0_seq4,tr|A0A0L8HYJ7|A0A0L8HYJ7_OCTBM,100.0,247,0,0,1368,2108,1,247,1.06e-180,"517
"
comp154074_c0_seq1,tr|A0A0L8GYA7|A0A0L8GYA7_OCTBM,100.0,67,0,0,731,931,1,67,5.15e-40,"141
"
comp94658_c0_seq2,tr|A0A0L8I183|A0A0L8I183_OCTBM,100.0,212,0,0,203,838,1,212,4.8e-144,"406
"
comp161193_c0_seq3,tr|A0A0L8FST3|A0A0L8FST3_OCTBM,100.0,815,0,0,751,3195,1,815,0.0,"1303
"
comp155889_c0_seq1,tr|A0A0L8GL62|A0A0L8GL62_OCTBM,100.0,541,0,0,442,2064,1,541,0.0,"1007
"
comp187289_c0_seq1,tr|A0A0L8HD17|A0A0L8HD17_OCTBM,100.0,328,0,0,129,1112,1,328,4.41e-166,"486
"
comp101245_c0_seq3,tr|A0A0L8H1Y4|A0A0L8H1Y4_OCTBM,100.0,609,0,0,318,2144,2,610,0.0,"1157
"
comp101245_c0_seq3,tr|A0A0L8H0S0|A0A0L8H0S0_OCTBM,100.0,159,0,0,2385,2861,27,185,5.39e-18,"82.4
"
comp145410_c0_seq1,tr|A0A0L8IG71|A0A0L8IG71_OCTBM,100.0,258,0,0,115,888,355,612,1.33e-174,"509
"
comp150086_c0_seq1,tr|A0A0L8FRS9|A0A0L8FRS9_OCTBM,100.0,336,0,0,377,1384,1,336,0.0,"608
"
comp98639_c0_seq1,tr|A0A0L8G4Q6|A0A0L8G4Q6_OCTBM,100.0,235,0,0,195,899,1,235,1.79e-122,"352
"
comp4858530_c0_seq1,tr|A0A0L8G9U1|A0A0L8G9U1_OCTBM,100.0,65,0,0,52,246,32,96,4.35e-44,"137
"
comp893487_c0_seq1,tr|A0A0L8HE16|A0A0L8HE16_OCTBM,100.0,245,0,0,304,1038,1,245,1.46e-164,"468
"
comp143737_c0_seq1,tr|A0A0L8GIA9|A0A0L8GIA9_OCTBM,100.0,260,0,0,407,1186,52,311,0.0,"548
"
comp18102_c0_seq1,tr|A0A0L8GS25|A0A0L8GS25_OCTBM,99.174,121,1,0,1,363,44,164,7.33e-75,"226
"
comp215819_c0_seq1,tr|A0A0L8GGW6|A0A0L8GGW6_OCTBM,96.33,218,8,0,549,1202,1,218,1.74e-150,"426
"
comp215819_c0_seq1,tr|A0A0L8GGQ4|A0A0L8GGQ4_OCTBM,100.0,54,0,0,174,335,1,54,1.22e-32,"117
"
comp660853_c0_seq1,tr|A0A0L8HT37|A0A0L8HT37_OCTBM,100.0,694,0,0,73,2154,1,694,0.0,"1455
"
comp166297_c0_seq18,tr|A0A0L8FVM5|A0A0L8FVM5_OCTBM,95.161,62,3,0,575,760,1,62,1.88e-30,"118
"
comp142182_c0_seq1,tr|A0A0L8FZI8|A0A0L8FZI8_OCTBM,100.0,621,0,0,530,2392,1,621,0.0,"1258
"
comp166259_c0_seq4,tr|A0A0L8H5T5|A0A0L8H5T5_OCTBM,100.0,297,0,0,1045,1935,1,297,0.0,"614
"
comp166259_c0_seq4,tr|A0A0L8H6S5|A0A0L8H6S5_OCTBM,100.0,69,0,0,729,523,1,69,8.18e-38,"135
"
comp166995_c0_seq1,tr|A0A0L8IGT3|A0A0L8IGT3_OCTBM,100.0,214,0,0,145,786,1,214,9.94e-123,"353
"
comp50825_c0_seq1,tr|A0A0L8HNV6|A0A0L8HNV6_OCTBM,99.669,605,1,1,28,1842,24,627,0.0,"1205
"
comp1810062_c0_seq1,tr|A0A0L8H385|A0A0L8H385_OCTBM,100.0,79,0,0,3,239,161,239,2.12e-52,"167
"
comp1810062_c0_seq1,tr|A0A0L8I6Q5|A0A0L8I6Q5_OCTBM,96.203,79,3,0,3,239,160,238,3.75e-51,"162
"
comp106134_c0_seq1,tr|A0A0L8GFZ0|A0A0L8GFZ0_OCTBM,100.0,584,0,0,982,2733,198,781,0.0,"944
"
comp106134_c0_seq1,tr|A0A0L8GFZ0|A0A0L8GFZ0_OCTBM,100.0,109,0,0,454,780,22,130,4.13e-54,"202
"
comp163296_c0_seq11,tr|A0A0L8I2L2|A0A0L8I2L2_OCTBM,100.0,1227,0,0,867,4547,7,1233,0.0,"2177
"
comp57804_c0_seq1,tr|A0A0L8HXN4|A0A0L8HXN4_OCTBM,100.0,52,0,0,359,514,1,52,4.25e-30,"110
"
comp162415_c0_seq7,tr|A0A0L8GEM4|A0A0L8GEM4_OCTBM,99.731,372,1,0,1083,2198,1,372,0.0,"715
"
comp157241_c2_seq1,tr|A0A0L8GL80|A0A0L8GL80_OCTBM,100.0,400,0,0,356,1555,1,400,0.0,"837
"
comp190247_c0_seq1,tr|A0A0L8FSQ4|A0A0L8FSQ4_OCTBM,100.0,393,0,0,537,1715,1,393,0.0,"713
"
comp190247_c0_seq1,tr|A0A0L8H5I0|A0A0L8H5I0_OCTBM,100.0,147,0,0,24,464,540,686,1.56e-76,"256
"
comp83675_c0_seq1,tr|A0A0L8GQZ4|A0A0L8GQZ4_OCTBM,99.847,655,1,0,145,2109,20,674,0.0,"1365
"
comp154121_c0_seq11,tr|A0A0L8FMC4|A0A0L8FMC4_OCTBM,99.359,156,1,0,2118,2585,37,192,3.62e-105,"322
"
comp132433_c1_seq1,tr|A0A0L8I1U4|A0A0L8I1U4_OCTBM,100.0,180,0,0,745,1284,1,180,2.39e-115,"337
"
comp132433_c1_seq1,tr|A0A0L8I1X5|A0A0L8I1X5_OCTBM,100.0,160,0,0,100,579,186,345,4.51e-111,"332
"
comp65368_c0_seq1,tr|A0A0L8I629|A0A0L8I629_OCTBM,100.0,135,0,0,3,407,3,137,1.04e-101,"287
"
comp101583_c0_seq1,tr|A0A0L8GY50|A0A0L8GY50_OCTBM,100.0,85,0,0,1143,1397,1,85,5.15e-55,"179
"
comp303807_c0_seq1,tr|A0A0L8HP07|A0A0L8HP07_OCTBM,100.0,67,0,0,141,341,112,178,1.34e-44,"145
"
comp154349_c1_seq2,tr|A0A0L8HWG1|A0A0L8HWG1_OCTBM,99.511,409,2,0,552,1778,1,409,0.0,"853
"
comp154349_c1_seq2,tr|A0A0L8HWG1|A0A0L8HWG1_OCTBM,99.371,159,1,0,1764,2240,512,670,1.04e-106,"342
"
comp159596_c0_seq1,tr|A0A0L8I0J4|A0A0L8I0J4_OCTBM,99.39,164,1,0,336,827,1,164,1.63e-105,"338
"
comp159596_c0_seq1,tr|A0A0L8GYP1|A0A0L8GYP1_OCTBM,100.0,172,0,0,5851,5336,22,193,5.13e-101,"322
"
comp105896_c0_seq1,tr|A0A0L8HFT4|A0A0L8HFT4_OCTBM,100.0,223,0,0,39,707,37,259,4.52e-148,"419
"
comp139595_c0_seq3,tr|A0A0L8HU59|A0A0L8HU59_OCTBM,98.765,162,2,0,2,487,26,187,2.84e-171,"340
"
comp139595_c0_seq3,tr|A0A0L8HU59|A0A0L8HU59_OCTBM,100.0,135,0,0,486,890,190,324,2.84e-171,"280
"
comp158938_c0_seq2,tr|A0A0L8FR92|A0A0L8FR92_OCTBM,100.0,373,0,0,157,1275,1,373,0.0,"761
"
comp156046_c0_seq2,tr|A0A0L8GUS8|A0A0L8GUS8_OCTBM,99.853,679,1,0,331,2367,1,679,0.0,"1379
"
comp149207_c0_seq1,tr|A0A0L8HZM3|A0A0L8HZM3_OCTBM,100.0,414,0,0,228,1469,1,414,0.0,"759
"
comp52078_c0_seq1,tr|A0A0L8GUK6|A0A0L8GUK6_OCTBM,100.0,156,0,0,2482,2949,1,156,1.37e-78,"253
"
comp188723_c0_seq1,tr|A0A0L8GRU7|A0A0L8GRU7_OCTBM,100.0,260,0,0,349,1128,1,260,0.0,"555
"
comp156965_c0_seq4,tr|A0A0L8H0B1|A0A0L8H0B1_OCTBM,96.648,179,6,0,488,1024,47,225,6.15e-120,"356
"
comp156965_c0_seq4,tr|A0A0L8GH25|A0A0L8GH25_OCTBM,100.0,59,0,0,179,3,1,59,1.59e-22,"90.9
"
comp165928_c2_seq1,tr|A0A0L8GZP9|A0A0L8GZP9_OCTBM,100.0,143,0,0,839,1267,1,143,3.83e-101,"301
"
comp174434_c0_seq1,tr|A0A0L8GQE9|A0A0L8GQE9_OCTBM,100.0,276,0,0,1978,2805,1,276,0.0,"575
"
comp174434_c0_seq1,tr|A0A0L8GPZ1|A0A0L8GPZ1_OCTBM,100.0,264,0,0,988,197,1,264,0.0,"550
"
comp243586_c0_seq1,tr|A0A0L8HU66|A0A0L8HU66_OCTBM,100.0,399,0,0,283,1479,1,399,0.0,"757
"
comp81049_c0_seq1,tr|A0A0L8HA47|A0A0L8HA47_OCTBM,100.0,387,0,0,18,1178,1,387,0.0,"775
"
comp143322_c0_seq2,tr|A0A0L8HCY5|A0A0L8HCY5_OCTBM,98.0,50,1,0,411,560,1,50,6.08e-26,"102
"
comp159664_c0_seq1,tr|A0A0L8HKU1|A0A0L8HKU1_OCTBM,100.0,450,0,0,476,1825,1,450,0.0,"880
"
comp145319_c0_seq2,tr|A0A0L8H474|A0A0L8H474_OCTBM,100.0,244,0,0,653,1384,1,244,1.39e-168,"496
"
comp440785_c0_seq1,tr|A0A0L8GAY4|A0A0L8GAY4_OCTBM,100.0,821,0,0,313,2775,1,821,0.0,"1696
"
comp99946_c0_seq1,tr|A0A0L8FMU9|A0A0L8FMU9_OCTBM,100.0,145,0,0,333,767,1,145,1.74e-83,"251
"
comp106090_c0_seq2,tr|A0A0L8GB19|A0A0L8GB19_OCTBM,100.0,294,0,0,1609,2490,1,294,5.5e-113,"349
"
comp99471_c0_seq1,tr|A0A0L8FGQ0|A0A0L8FGQ0_OCTBM,100.0,286,0,0,343,1200,1,286,0.0,"556
"
comp78546_c0_seq1,tr|A0A0L8G8V9|A0A0L8G8V9_OCTBM,99.834,601,1,0,832,2634,1,601,0.0,"1247
"
comp162675_c0_seq1,tr|A0A0L8GJI7|A0A0L8GJI7_OCTBM,100.0,963,0,0,4670,7558,1,963,0.0,"2017
"
comp164792_c0_seq8,tr|A0A0L8HJP8|A0A0L8HJP8_OCTBM,100.0,739,0,0,1770,3986,1,739,0.0,"1367
"
comp69850_c0_seq1,tr|A0A0L8FVN7|A0A0L8FVN7_OCTBM,100.0,411,0,0,123,1355,1,411,0.0,"812
"
comp57322_c0_seq1,tr|A0A0L8GW48|A0A0L8GW48_OCTBM,99.882,844,1,0,174,2705,1,844,0.0,"1607
"
comp163624_c0_seq7,tr|A0A0L8GJA2|A0A0L8GJA2_OCTBM,99.144,701,4,1,1305,3407,12,710,0.0,"1400
"
